time,veh_u,veh_v,model_GRU_lon_2080.pt
2.38,1.75845,0.0,1.789257526397705
2.39,1.7885,0.0,1.8199200630187988
2.4,1.81865,0.0,1.8503533601760864
2.41,1.84882,0.0,1.8804305791854858
2.42,1.87908,0.0,1.9104527235031128
2.43,1.90939,0.0,1.9401273727416992
2.44,1.93975,0.0,1.9697564840316772
2.45,1.97014,0.0,1.9996899366378784
2.46,2.00055,0.0,2.02958607673645
2.47,2.03098,0.0,2.05930495262146
2.48,2.06142,0.0,2.0888819694519043
2.49,2.09185,0.0,2.1185386180877686
2.5,2.12228,0.0,2.1480929851531982
2.51,2.14668,0.0,2.1768510341644287
2.52,2.18308,0.0,2.2053163051605225
2.53,2.20744,0.0,2.2334132194519043
2.54,2.24377,0.0,2.2619359493255615
2.55,2.26807,0.0,2.2905611991882324
2.56,2.3043,0.0,2.319699764251709
2.57,2.3345,0.0,2.349651336669922
2.58,2.36464,0.0,2.3802309036254883
2.59,2.39474,0.0,2.411205768585205
2.6,2.42478,0.0,2.4420034885406494
2.61,2.45476,0.0,2.4722800254821777
2.62,2.48469,0.0,2.502121925354004
2.63,2.51456,0.0,2.5319771766662598
2.64,2.54437,0.0,2.5618233680725098
2.65,2.57413,0.0,2.5916874408721924
2.66,2.60382,0.0,2.621277332305908
2.67,2.63346,0.0,2.6508045196533203
2.68,2.66305,0.0,2.6802525520324707
2.69,2.69258,0.0,2.709550142288208
2.7,2.72206,0.0,2.738891839981079
2.71,2.75148,0.0,2.7679455280303955
2.72,2.78085,0.0,2.7970237731933594
2.73,2.81017,0.0,2.82566499710083
2.74,2.83944,0.0,2.8538525104522705
2.75,2.86867,0.0,2.8820207118988037
2.76,2.89206,0.0,2.909822702407837
2.77,2.92697,0.0,2.93757963180542
2.78,2.95029,0.0,2.964855194091797
2.79,2.98509,0.0,2.9921698570251465
2.8,3.00836,0.0,3.0194311141967773
2.81,3.04304,0.0,3.04687237739563
2.82,3.07194,0.0,3.07444429397583
2.83,3.1008,0.0,3.102156400680542
2.84,3.12961,0.0,3.129948854446411
2.85,3.15837,0.0,3.1578333377838135
2.86,3.18707,0.0,3.185856819152832
2.87,3.21573,0.0,3.2140982151031494
2.88,3.24434,0.0,3.2424139976501465
2.89,3.27287,0.0,3.2707955837249756
2.9,3.30137,0.0,3.2993364334106445
2.91,3.32977,0.0,3.328035831451416
2.92,3.35813,0.0,3.3568015098571777
2.93,3.38641,0.0,3.385150671005249
2.94,3.41462,0.0,3.4127612113952637
2.95,3.44276,0.0,3.439765691757202
2.96,3.47081,0.0,3.466505527496338
2.97,3.49878,0.0,3.493466854095459
2.98,3.52667,0.0,3.5207598209381104
2.99,3.55446,0.0,3.548154592514038
3.0,3.58218,0.0,3.575202465057373
3.01,3.60431,0.0,3.6016201972961426
3.02,3.63729,0.0,3.6277809143066406
3.03,3.65929,0.0,3.653390884399414
3.04,3.69202,0.0,3.6788454055786133
3.05,3.71387,0.0,3.7038543224334717
3.06,3.74636,0.0,3.72936749458313
3.07,3.76803,0.0,3.7553677558898926
3.08,3.8003,0.0,3.7820072174072266
3.09,3.82713,0.0,3.8092751502990723
3.1,3.85386,0.0,3.836918592453003
3.11,3.8805,0.0,3.865062952041626
3.12,3.90705,0.0,3.8937430381774902
3.13,3.93353,0.0,3.922278642654419
3.14,3.95992,0.0,3.950303792953491
3.15,3.98624,0.0,3.9778990745544434
3.16,4.0125,0.0,4.005189418792725
3.17,4.03869,0.0,4.032209873199463
3.18,4.06483,0.0,4.058980464935303
3.19,4.09092,0.0,4.085337162017822
3.2,4.11698,0.0,4.11138916015625
3.21,4.14299,0.0,4.137211322784424
3.22,4.16898,0.0,4.162869930267334
3.23,4.19495,0.0,4.188526630401611
3.24,4.2209,0.0,4.213893890380859
3.25,4.24684,0.0,4.239147663116455
3.26,4.26764,0.0,4.263827323913574
3.27,4.29872,0.0,4.28830623626709
3.28,4.31952,0.0,4.3124518394470215
3.29,4.35061,0.0,4.336930274963379
3.3,4.37145,0.0,4.361879348754883
3.31,4.40256,0.0,4.387745380401611
3.32,4.42339,0.0,4.413855075836182
3.33,4.45455,0.0,4.439966201782227
3.34,4.48058,0.0,4.466291427612305
