time,veh_u,veh_v,model_T_lon_1560.pt
3.97,1.13268,0.0,0.8862688541412354
3.98,1.13617,0.0,0.8888868689537048
3.99,1.13965,0.0,0.8924224376678467
4.0,1.14312,0.0,0.8950006365776062
4.01,1.14658,0.0,0.897789478302002
4.02,1.14934,0.0,0.9010266661643982
4.03,1.15277,0.0,0.9044828414916992
4.04,1.15687,0.0,0.9074598550796509
4.05,1.16026,0.0,0.909782886505127
4.06,1.16296,0.0,0.913001298904419
4.07,1.1663,0.0,0.9152541756629944
4.08,1.17026,0.0,0.9179403185844421
4.09,1.17354,0.0,0.920417308807373
4.1,1.17676,0.0,0.9230387210845947
4.11,1.17994,0.0,0.9254534244537354
4.12,1.18308,0.0,0.9274541139602661
4.13,1.18618,0.0,0.9294463396072388
4.14,1.18922,0.0,0.9319679737091064
4.15,1.19221,0.0,0.9342991709709167
4.16,1.19514,0.0,0.9363107681274414
4.17,1.19802,0.0,0.9384005069732666
4.18,1.20085,0.0,0.9406683444976807
4.19,1.20362,0.0,0.9431397318840027
4.2,1.20633,0.0,0.9453856945037842
4.21,1.209,0.0,0.9474154710769653
4.22,1.21161,0.0,0.9497878551483154
4.23,1.21417,0.0,0.9516863822937012
4.24,1.21669,0.0,0.9544329047203064
4.25,1.21916,0.0,0.956601619720459
4.26,1.22159,0.0,0.958655595779419
4.27,1.22351,0.0,0.9612672924995422
4.28,1.22635,0.0,0.9639205932617188
4.29,1.22869,0.0,0.9653802514076233
4.3,1.231,0.0,0.9676421880722046
4.31,1.23284,0.0,0.9695858955383301
4.32,1.23557,0.0,0.9713364839553833
4.33,1.23784,0.0,0.9735010266304016
4.34,1.2401,0.0,0.9759416580200195
4.35,1.24191,0.0,0.9780119061470032
4.36,1.24461,0.0,0.9805327653884888
4.37,1.24688,0.0,0.9823557138442993
4.38,1.24915,0.0,0.9838023781776428
4.39,1.25143,0.0,0.9860268235206604
4.4,1.25372,0.0,0.9879162907600403
4.41,1.25603,0.0,0.9890964031219482
4.42,1.25835,0.0,0.9909937381744385
4.43,1.26069,0.0,0.993253767490387
4.44,1.26305,0.0,0.9948552846908569
4.45,1.26542,0.0,0.99660325050354
4.46,1.26781,0.0,0.9988114237785339
4.47,1.27022,0.0,1.0008769035339355
4.48,1.27264,0.0,1.0024805068969727
4.49,1.27507,0.0,1.0046675205230713
4.5,1.27752,0.0,1.0059566497802734
4.51,1.27998,0.0,1.0081980228424072
4.52,1.28195,0.0,1.009445309638977
4.53,1.28491,0.0,1.0110292434692383
4.54,1.28739,0.0,1.0120103359222412
4.55,1.28987,0.0,1.013481616973877
4.56,1.29185,0.0,1.0153279304504395
4.57,1.29482,0.00102,1.0173838138580322
4.58,1.29729,0.00166,1.019033432006836
4.59,1.29976,0.00228,1.0204766988754272
4.6,1.30172,0.00276,1.0225138664245605
4.61,1.30466,0.00345,1.024227499961853
4.62,1.3071,0.00399,1.025916337966919
4.63,1.30952,0.00448,1.027999758720398
4.64,1.31194,0.00492,1.0302979946136475
4.65,1.31434,0.0053,1.0328865051269531
4.66,1.31674,0.00561,1.0347763299942017
4.67,1.31912,0.00584,1.0381245613098145
4.68,1.32149,0.006,1.041620135307312
4.69,1.32385,0.00608,1.0455853939056396
4.7,1.32621,0.00606,1.0486021041870117
4.71,1.32856,0.00596,1.0516504049301147
4.72,1.3309,0.00576,1.0552996397018433
4.73,1.33324,0.00547,1.059246301651001
