time,veh_u,veh_v,model_LSTM_lon_2139.pt
11.39,25.84817,0.0,25.872650146484375
11.4,25.8994,0.0,25.922616958618164
11.41,25.95043,0.0,25.972103118896484
11.42,26.00138,0.0,26.02140235900879
11.43,26.05224,0.0,26.070436477661133
11.44,26.10295,0.0,26.119258880615234
11.45,26.14356,0.0,26.16815757751465
11.46,26.20409,0.0,26.21706199645996
11.47,26.25452,0.0,26.265735626220703
11.48,26.30486,0.0,26.314075469970703
11.49,26.35511,0.0,26.362031936645508
11.5,26.40528,0.0,26.410137176513672
11.51,26.45538,0.0,26.45801544189453
11.52,26.50538,0.0,26.5059871673584
11.53,26.55533,0.0,26.554086685180664
11.54,26.59534,0.0,26.60288429260254
11.55,26.655,0.0,26.651573181152344
11.56,26.70475,0.0,26.7005558013916
11.57,26.75442,0.0,26.749711990356445
11.58,26.80404,0.0,26.79871940612793
11.59,26.85359,0.0,26.848129272460938
11.6,26.90309,0.0,26.897966384887695
11.61,26.95253,0.0,26.948074340820312
11.62,26.99214,0.0,26.998668670654297
11.63,27.05124,0.0,27.049488067626953
11.64,27.10051,0.0,27.10025978088379
11.65,27.14973,0.0,27.151111602783203
11.66,27.1989,0.0,27.20208740234375
11.67,27.24801,0.0,27.252769470214844
11.68,27.29708,0.0,27.303150177001953
11.69,27.34611,0.0,27.35279083251953
11.7,27.38537,0.0,27.402090072631836
11.71,27.44397,0.0,27.450481414794922
11.72,27.49284,0.0,27.497957229614258
11.73,27.54166,0.0,27.544668197631836
11.74,27.59043,0.0,27.590347290039062
11.75,27.63915,0.0,27.63494110107422
11.76,27.68784,0.0,27.678634643554688
11.77,27.73645,0.0,27.721445083618164
11.78,27.78503,0.0,27.763822555541992
11.79,27.82397,0.0,27.80615234375
11.8,27.882,0.0,27.848220825195312
11.81,27.9304,0.0,27.8898983001709
11.82,27.97873,0.0,27.931577682495117
11.83,28.02698,0.0,27.973424911499023
11.84,28.07515,0.0,28.016124725341797
11.85,28.12324,0.0,28.05946159362793
11.86,28.17121,0.0,28.103822708129883
11.87,28.20962,0.0,28.149301528930664
11.88,28.26683,0.0,28.19650650024414
11.89,28.31449,0.0,28.245023727416992
11.9,28.36194,0.0,28.294946670532227
11.91,28.40926,0.0,28.346426010131836
11.92,28.45642,0.0,28.399389266967773
11.93,28.5034,0.0,28.45389747619629
11.94,28.55018,0.0,28.50954818725586
11.95,28.58757,0.0,28.56602668762207
11.96,28.64312,0.0,28.622957229614258
11.97,28.68925,0.0,28.68035125732422
11.98,28.73525,0.0,28.737394332885742
11.99,28.78078,0.0,28.79347801208496
12.0,28.82617,0.0,28.848081588745117
12.01,28.8713,0.0,28.901782989501953
12.02,28.91617,0.0,28.95364761352539
12.03,28.95198,0.0,29.00369644165039
12.04,28.99637,0.0,29.051555633544922
12.05,29.0492,0.0,29.097972869873047
12.06,29.09304,0.0,29.14255142211914
12.07,29.13664,0.0,29.18571662902832
12.08,29.18001,0.0,29.227293014526367
12.09,29.22318,0.0,29.26761817932129
12.1,29.26616,0.0,29.3072566986084
12.11,29.30898,0.0,29.346134185791016
12.12,29.34323,0.0,29.38428497314453
12.13,29.39422,0.0,29.42181396484375
12.14,29.43671,0.0,29.45897674560547
12.15,29.47916,0.0,29.495718002319336
12.16,29.52159,0.0,29.53195571899414
12.17,29.56404,0.0,29.567794799804688
12.18,29.60656,0.0,29.603296279907227
12.19,29.64918,0.0,29.6384220123291
12.2,29.68347,0.0,29.672792434692383
12.21,29.73486,0.0,29.706817626953125
12.22,29.77799,0.0,29.7404842376709
12.23,29.82136,0.0,29.773630142211914
