ID;model_type;sequence_length;kernel_size;dilation_schedule;num_residual_blocks;channels_per_layer;convolutions_per_block;dropout;input_dim;head_pooling;use_weight_norm;activation;norm_in_block;output_clamp_min;optimizer;learning_rate;weight_decay;loss;grad_clip;batch_size;seed
482;TCN;160;5;1,2,4,8,16,32;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
483;TCN;160;5;1,2,4,8,16,32;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
484;TCN;160;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
485;TCN;160;5;1,2,4,8,16,32;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
486;TCN;160;5;1,2,4,8,16,32;7;64,64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
487;TCN;160;5;1,2,4,8,16,32;7;64,64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
488;TCN;170;4;1,2,4,8,16;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
489;TCN;170;4;1,2,4,8,16;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
490;TCN;170;4;1,2,4,8,16;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
491;TCN;170;4;1,2,4,8,16;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
492;TCN;170;4;1,2,4,8,16;7;64,64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
493;TCN;170;4;1,2,4,8,16;7;64,64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
494;TCN;170;5;1,2,4,8,16,32;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
495;TCN;170;5;1,2,4,8,16,32;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
496;TCN;170;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
497;TCN;170;5;1,2,4,8,16,32;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
498;TCN;170;5;1,2,4,8,16,32;7;64,64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
499;TCN;170;5;1,2,4,8,16,32;7;64,64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
